id;name;address_line;city;country
1;Sausages;Tasty initiatives;Luciennetown;Australia
2;Ball Radial;Euro Frozen;East Ramirostad;Indonesia
3;Operations Creative deliver;Gloves withdrawal;Ethaport;Falkland Islands (Malvinas)
4;Mobility;Denar Practical;Aubreemouth;Bahrain
5;Saint Sausages;redundant;New Domenica;Gabon
6;transmit;Associate invoice high-level;Port Violettemouth;Martinique
7;e-tailers;Russian indigo Account;Pearlfurt;United Arab Emirates
8;Group Fish;Towels Security Designer;Lake Bernardchester;Austria
9;time-frame Forward;SMTP blue;Lake Grayceshire;Republic of Korea
10;repurpose Fantastic CSS;backing;Lake Rickychester;Afghanistan
